Area,Emissions intensity (gCO2e/kWh)
Albania,25.172
Argentina,342.275
Armenia,244.032
Australia,524.638
Austria,116.698
Azerbaijan,642.138
Bangladesh,696.348
Belarus,316.262
Belgium,125.854
Bolivia,481.365
Bosnia Herzegovina,572.314
Brazil,109.852
Bulgaria,275.347
Cambodia,498.761
Canada,190.725
Chile,290.599
China,528.278
Colombia,186.703
Costa Rica,-37.907
Croatia,158.081
Cyprus,505.196
Czechia,401.366
Denmark,99.887
Dominican Republic,538.026
Ecuador,158.798
Egypt,557.215
El Salvador,111.342
Estonia,318.56
Ethiopia,23.404
Finland,57.182
France,41.44
Georgia,146.867
Germany,334.116
Greece,324.762
Hungary,162.62
Iceland,27.886
India,671.41
Iran,656.05
Ireland,263.298
Israel,492.85
Italy,284.246
Japan,477.376
Kazakhstan,812.834
Kenya,95.94
Kosovo,901.874
Kuwait,634.723
Kyrgyzstan,72.583
Latvia,134.896
Lithuania,138.173
Luxembourg,120.779
Malaysia,605.547
Malta,479.638
Mexico,474.026
Moldova,517.075
Mongolia,821.815
Montenegro,265.447
Morocco,603.003
Netherlands,253.664
New Zealand,92.686
Nigeria,455.874
North Macedonia,406.901
Norway,28.05
Oman,544.398
Pakistan,308.085
Paraguay,24.785
Peru,238.145
Poland,590.886
Portugal,127.805
Puerto Rico,656.143
Qatar,581.895
Romania,259.161
Russia,446.909
Serbia,695.8
Singapore,497.047
Slovakia,95.015
Slovenia,182.131
South Africa,698.987
South Korea,417.128
Spain,153.458
Sri Lanka,367.655
Sweden,35.335
Switzerland,39.05
Taiwan (China),633.584
Tajikistan,72.642
Thailand,525.878
The Philippines,595.395
Tunisia,560.152
Türkiye,475.776
United Kingdom,222.18
United States,384.403
Uruguay,80.151
Uzbekistan,999.965
Viet Nam,458.945
