Area,drought_risk_level
Afghanistan,Medium - High (0.6-0.8)
Akrotiri and Dhekelia,Medium (0.4-0.6)
Albania,Medium - High (0.6-0.8)
Algeria,High (0.8-1.0)
American Samoa,No Data
Andorra,Medium (0.4-0.6)
Angola,Medium (0.4-0.6)
Antigua and Barbuda,No Data
Argentina,Medium - High (0.6-0.8)
Armenia,Medium - High (0.6-0.8)
Australia,Medium (0.4-0.6)
Austria,Medium - High (0.6-0.8)
Azerbaijan,Medium - High (0.6-0.8)
Bahamas,Medium - High (0.6-0.8)
Bahrain,No Data
Bangladesh,High (0.8-1.0)
Barbados,Medium (0.4-0.6)
Belarus,Medium - High (0.6-0.8)
Belgium,Medium - High (0.6-0.8)
Belize,Medium (0.4-0.6)
Benin,Medium - High (0.6-0.8)
Bermuda,No Data
Bhutan,Medium - High (0.6-0.8)
Bolivia,Medium (0.4-0.6)
"Bonaire, Sint Eustatius and Saba",Medium (0.4-0.6)
Bosnia and Herzegovina,Medium - High (0.6-0.8)
Botswana,Medium - High (0.6-0.8)
Brazil,Medium - High (0.6-0.8)
British Virgin Islands,No Data
Brunei,Medium (0.4-0.6)
Bulgaria,High (0.8-1.0)
Burkina Faso,Medium - High (0.6-0.8)
Burundi,Medium - High (0.6-0.8)
Cambodia,Medium - High (0.6-0.8)
Cameroon,Medium - High (0.6-0.8)
Canada,Medium (0.4-0.6)
Cape Verde,No Data
Cayman Islands,No Data
Central African Republic,Medium - High (0.6-0.8)
Chad,Medium - High (0.6-0.8)
Chile,Medium (0.4-0.6)
China,Medium - High (0.6-0.8)
Colombia,Medium - High (0.6-0.8)
Comoros,No Data
Costa Rica,Medium - High (0.6-0.8)
Croatia,High (0.8-1.0)
Cuba,Medium - High (0.6-0.8)
Cyprus,Medium (0.4-0.6)
Czech Republic,Medium - High (0.6-0.8)
Côte d'Ivoire,Medium - High (0.6-0.8)
Democratic Republic of the Congo,Medium - High (0.6-0.8)
Denmark,Medium - High (0.6-0.8)
Djibouti,Medium - High (0.6-0.8)
Dominica,No Data
Dominican Republic,Medium - High (0.6-0.8)
Ecuador,Medium - High (0.6-0.8)
Egypt,Medium - High (0.6-0.8)
